1000022	1000022
1000035	1000035
1000046	1000046
1000054	1000054
1000063	1000063
1000137	1000137
1000198	1000198
1000210	1000210
1000224	1000224
1000236	1000236
1000269	1000269
1000318	1000318
1000323	1000323
1000331	1000331
1000357	1000357
1000362	1000362
1000379	1000379
1000385	1000385
1000415	1000415
1000443	1000443
1000450	1000450
1000466	1000466
1000516	1000516
1000568	1000568
1000609	1000609
1000638	1000638
1000660	1000660
1000674	1000674
1000713	1000713
1000728	1000728
1000826	1000826
1000844	1000844
1000858	1000858
1000875	1000875
1000889	1000889
1000893	1000893
1000906	1000906
1000914	1000914
1000988	1000988
1001001	1001001
1001034	1001034
1001052	1001052
1001080	1001080
1001140	1001140
1001179	1001179
1001196	1001196
1001254	1001254
1001278	1001278
1001290	1001290
1001330	1001330
1001351	1001351
1001373	1001373
1001433	1001433
1001465	1001465
1001471	1001471
1001508	1001508
1001515	1001515
1001521	1001521
1001543	1001543
1001566	1001566
1001582	1001582
1001603	1001603
1001669	1001669
1001700	1001700
1001732	1001732
1001744	1001744
1001809	1001809
1001825	1001825
1001860	1001860
1001874	1001874
1001986	1001986
1002004	1002004
1002031	1002031
1002062	1002062
1002079	1002079
1002085	1002085
1002096	1002096
1002128	1002128
1002134	1002134
1002152	1002152
1002176	1002176
1002180	1002180
1002251	1002251
1002268	1002268
1002273	1002273
1002322	1002322
1002346	1002346
1002363	1002363
1002381	1002381
1002409	1002409
1002411	1002411
1002438	1002438
1002456	1002456
1002474	1002474
1002591	1002591
1002615	1002615
1002682	1002682
1002705	1002705
1002729	1002729
1002764	1002764
1002786	1002786
1002888	1002888
1002900	1002900
1002989	1002989
1003011	1003011
1003038	1003038
1003042	1003042
1003056	1003056
1003060	1003060
1003074	1003074
1003083	1003083
1003121	1003121
1003177	1003177
1003194	1003194
1003261	1003261
1003289	1003289
1003365	1003365
1003371	1003371
1003418	1003418
1003423	1003423
1003496	1003496
1003512	1003512
1003529	1003529
1003564	1003564
1003570	1003570
1003586	1003586
1003598	1003598
1003601	1003601
1003634	1003634
1003699	1003699
1003736	1003736
1003748	1003748
1003769	1003769
1003772	1003772
1003787	1003787
1003791	1003791
1003854	1003854
1003881	1003881
1003916	1003916
1003927	1003927
1003951	1003951
1003968	1003968
1003973	1003973
1003984	1003984
1004012	1004012
1004029	1004029
1004086	1004086
1004107	1004107
1004119	1004119
1004163	1004163
1004178	1004178
1004223	1004223
1004257	1004257
1004279	1004279
