name,title
p20001_i1_a2,"Cancer code, self-reported | Instance 1 | Array 2"
p20001_i1_a3,"Cancer code, self-reported | Instance 1 | Array 3"
p20001_i1_a4,"Cancer code, self-reported | Instance 1 | Array 4"
p20001_i1_a5,"Cancer code, self-reported | Instance 1 | Array 5"
p20001_i2_a0,"Cancer code, self-reported | Instance 2 | Array 0"
p20001_i2_a1,"Cancer code, self-reported | Instance 2 | Array 1"
p20001_i2_a2,"Cancer code, self-reported | Instance 2 | Array 2"
p20001_i2_a3,"Cancer code, self-reported | Instance 2 | Array 3"
p20001_i2_a4,"Cancer code, self-reported | Instance 2 | Array 4"
p20001_i2_a5,"Cancer code, self-reported | Instance 2 | Array 5"
p20001_i3_a0,"Cancer code, self-reported | Instance 3 | Array 0"
p20001_i3_a1,"Cancer code, self-reported | Instance 3 | Array 1"
p20001_i3_a2,"Cancer code, self-reported | Instance 3 | Array 2"
p20001_i3_a3,"Cancer code, self-reported | Instance 3 | Array 3"
p20001_i3_a4,"Cancer code, self-reported | Instance 3 | Array 4"
p20001_i3_a5,"Cancer code, self-reported | Instance 3 | Array 5"
p40001_i0,Underlying (primary) cause of death: ICD10 | Instance 0
p40001_i1,Underlying (primary) cause of death: ICD10 | Instance 1
p40002_i0_a0,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 0
p40002_i0_a1,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 1
p40002_i0_a2,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 2
p40002_i0_a3,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 3
p40002_i0_a4,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 4
p40002_i0_a5,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 5
p40002_i0_a6,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 6
p40002_i0_a7,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 7
p40002_i0_a8,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 8
p40002_i0_a9,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 9
p40002_i0_a10,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 10
p40002_i0_a11,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 11
p40002_i0_a12,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 12
p40002_i0_a13,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 13
p40002_i0_a14,Contributory (secondary) causes of death: ICD10 | Instance 0 | Array 14
p40002_i1_a0,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 0
p40002_i1_a1,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 1
p40002_i1_a2,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 2
p40002_i1_a3,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 3
p40002_i1_a4,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 4
p40002_i1_a5,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 5
p40002_i1_a6,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 6
p40002_i1_a7,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 7
p40002_i1_a8,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 8
p40002_i1_a9,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 9
p40002_i1_a10,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 10
p40002_i1_a11,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 11
p40002_i1_a12,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 12
p40002_i1_a13,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 13
p40002_i1_a14,Contributory (secondary) causes of death: ICD10 | Instance 1 | Array 14
p41202,Diagnoses - main ICD10
p41203,Diagnoses - main ICD9
p41204,Diagnoses - secondary ICD10
p41205,Diagnoses - secondary ICD9
p20002_i0_a0,"Non-cancer illness code, self-reported | Instance 0 | Array 0"
p20002_i0_a1,"Non-cancer illness code, self-reported | Instance 0 | Array 1"
p20002_i0_a2,"Non-cancer illness code, self-reported | Instance 0 | Array 2"
p20002_i0_a3,"Non-cancer illness code, self-reported | Instance 0 | Array 3"
p20002_i0_a4,"Non-cancer illness code, self-reported | Instance 0 | Array 4"
p20002_i0_a5,"Non-cancer illness code, self-reported | Instance 0 | Array 5"
p20002_i0_a6,"Non-cancer illness code, self-reported | Instance 0 | Array 6"
p20002_i0_a7,"Non-cancer illness code, self-reported | Instance 0 | Array 7"
p20002_i0_a8,"Non-cancer illness code, self-reported | Instance 0 | Array 8"
p20002_i0_a9,"Non-cancer illness code, self-reported | Instance 0 | Array 9"
p20002_i0_a10,"Non-cancer illness code, self-reported | Instance 0 | Array 10"
p20002_i0_a11,"Non-cancer illness code, self-reported | Instance 0 | Array 11"
p20002_i0_a12,"Non-cancer illness code, self-reported | Instance 0 | Array 12"
p20002_i0_a13,"Non-cancer illness code, self-reported | Instance 0 | Array 13"
p20002_i0_a14,"Non-cancer illness code, self-reported | Instance 0 | Array 14"
p20002_i0_a15,"Non-cancer illness code, self-reported | Instance 0 | Array 15"
p20002_i0_a16,"Non-cancer illness code, self-reported | Instance 0 | Array 16"
p20002_i0_a17,"Non-cancer illness code, self-reported | Instance 0 | Array 17"
p20002_i0_a18,"Non-cancer illness code, self-reported | Instance 0 | Array 18"
p20002_i0_a19,"Non-cancer illness code, self-reported | Instance 0 | Array 19"
p20002_i0_a20,"Non-cancer illness code, self-reported | Instance 0 | Array 20"
p20002_i0_a21,"Non-cancer illness code, self-reported | Instance 0 | Array 21"
p20002_i0_a22,"Non-cancer illness code, self-reported | Instance 0 | Array 22"
p20002_i0_a23,"Non-cancer illness code, self-reported | Instance 0 | Array 23"
p20002_i0_a24,"Non-cancer illness code, self-reported | Instance 0 | Array 24"
p20002_i0_a25,"Non-cancer illness code, self-reported | Instance 0 | Array 25"
p20002_i0_a26,"Non-cancer illness code, self-reported | Instance 0 | Array 26"
p20002_i0_a27,"Non-cancer illness code, self-reported | Instance 0 | Array 27"
p20002_i0_a28,"Non-cancer illness code, self-reported | Instance 0 | Array 28"
p20002_i0_a29,"Non-cancer illness code, self-reported | Instance 0 | Array 29"
p20002_i0_a30,"Non-cancer illness code, self-reported | Instance 0 | Array 30"
p20002_i0_a31,"Non-cancer illness code, self-reported | Instance 0 | Array 31"
p20002_i0_a32,"Non-cancer illness code, self-reported | Instance 0 | Array 32"
p20002_i0_a33,"Non-cancer illness code, self-reported | Instance 0 | Array 33"
p20002_i1_a0,"Non-cancer illness code, self-reported | Instance 1 | Array 0"
p20002_i1_a1,"Non-cancer illness code, self-reported | Instance 1 | Array 1"
p20002_i1_a2,"Non-cancer illness code, self-reported | Instance 1 | Array 2"
p20002_i1_a3,"Non-cancer illness code, self-reported | Instance 1 | Array 3"
p20002_i1_a4,"Non-cancer illness code, self-reported | Instance 1 | Array 4"
p20002_i1_a5,"Non-cancer illness code, self-reported | Instance 1 | Array 5"
p20002_i1_a6,"Non-cancer illness code, self-reported | Instance 1 | Array 6"
p20002_i1_a7,"Non-cancer illness code, self-reported | Instance 1 | Array 7"
p20002_i1_a8,"Non-cancer illness code, self-reported | Instance 1 | Array 8"
p20002_i1_a9,"Non-cancer illness code, self-reported | Instance 1 | Array 9"
p20002_i1_a10,"Non-cancer illness code, self-reported | Instance 1 | Array 10"
p20002_i1_a11,"Non-cancer illness code, self-reported | Instance 1 | Array 11"
p20002_i1_a12,"Non-cancer illness code, self-reported | Instance 1 | Array 12"
p20002_i1_a13,"Non-cancer illness code, self-reported | Instance 1 | Array 13"
p20002_i1_a14,"Non-cancer illness code, self-reported | Instance 1 | Array 14"
p20002_i1_a15,"Non-cancer illness code, self-reported | Instance 1 | Array 15"
p20002_i1_a16,"Non-cancer illness code, self-reported | Instance 1 | Array 16"
p20002_i1_a17,"Non-cancer illness code, self-reported | Instance 1 | Array 17"
p20002_i1_a18,"Non-cancer illness code, self-reported | Instance 1 | Array 18"
p20002_i1_a19,"Non-cancer illness code, self-reported | Instance 1 | Array 19"
p20002_i1_a20,"Non-cancer illness code, self-reported | Instance 1 | Array 20"
p20002_i1_a21,"Non-cancer illness code, self-reported | Instance 1 | Array 21"
p20002_i1_a22,"Non-cancer illness code, self-reported | Instance 1 | Array 22"
p20002_i1_a23,"Non-cancer illness code, self-reported | Instance 1 | Array 23"
p20002_i1_a24,"Non-cancer illness code, self-reported | Instance 1 | Array 24"
p20002_i1_a25,"Non-cancer illness code, self-reported | Instance 1 | Array 25"
p20002_i1_a26,"Non-cancer illness code, self-reported | Instance 1 | Array 26"
p20002_i1_a27,"Non-cancer illness code, self-reported | Instance 1 | Array 27"
p20002_i1_a28,"Non-cancer illness code, self-reported | Instance 1 | Array 28"
p20002_i1_a29,"Non-cancer illness code, self-reported | Instance 1 | Array 29"
p20002_i1_a30,"Non-cancer illness code, self-reported | Instance 1 | Array 30"
p20002_i1_a31,"Non-cancer illness code, self-reported | Instance 1 | Array 31"
p20002_i1_a32,"Non-cancer illness code, self-reported | Instance 1 | Array 32"
p20002_i1_a33,"Non-cancer illness code, self-reported | Instance 1 | Array 33"
p20002_i2_a0,"Non-cancer illness code, self-reported | Instance 2 | Array 0"
p20002_i2_a1,"Non-cancer illness code, self-reported | Instance 2 | Array 1"
p20002_i2_a2,"Non-cancer illness code, self-reported | Instance 2 | Array 2"
p20002_i2_a3,"Non-cancer illness code, self-reported | Instance 2 | Array 3"
p20002_i2_a4,"Non-cancer illness code, self-reported | Instance 2 | Array 4"
p20002_i2_a5,"Non-cancer illness code, self-reported | Instance 2 | Array 5"
p20002_i2_a6,"Non-cancer illness code, self-reported | Instance 2 | Array 6"
p20002_i2_a7,"Non-cancer illness code, self-reported | Instance 2 | Array 7"
p20002_i2_a8,"Non-cancer illness code, self-reported | Instance 2 | Array 8"
p20002_i2_a9,"Non-cancer illness code, self-reported | Instance 2 | Array 9"
p20002_i2_a10,"Non-cancer illness code, self-reported | Instance 2 | Array 10"
p20002_i2_a11,"Non-cancer illness code, self-reported | Instance 2 | Array 11"
p20002_i2_a12,"Non-cancer illness code, self-reported | Instance 2 | Array 12"
p20002_i2_a13,"Non-cancer illness code, self-reported | Instance 2 | Array 13"
p20002_i2_a14,"Non-cancer illness code, self-reported | Instance 2 | Array 14"
p20002_i2_a15,"Non-cancer illness code, self-reported | Instance 2 | Array 15"
p20002_i2_a16,"Non-cancer illness code, self-reported | Instance 2 | Array 16"
p20002_i2_a17,"Non-cancer illness code, self-reported | Instance 2 | Array 17"
p20002_i2_a18,"Non-cancer illness code, self-reported | Instance 2 | Array 18"
p20002_i2_a19,"Non-cancer illness code, self-reported | Instance 2 | Array 19"
p20002_i2_a20,"Non-cancer illness code, self-reported | Instance 2 | Array 20"
p20002_i2_a21,"Non-cancer illness code, self-reported | Instance 2 | Array 21"
p20002_i2_a22,"Non-cancer illness code, self-reported | Instance 2 | Array 22"
p20002_i2_a23,"Non-cancer illness code, self-reported | Instance 2 | Array 23"
p20002_i2_a24,"Non-cancer illness code, self-reported | Instance 2 | Array 24"
p20002_i2_a25,"Non-cancer illness code, self-reported | Instance 2 | Array 25"
p20002_i2_a26,"Non-cancer illness code, self-reported | Instance 2 | Array 26"
p20002_i2_a27,"Non-cancer illness code, self-reported | Instance 2 | Array 27"
p20002_i2_a28,"Non-cancer illness code, self-reported | Instance 2 | Array 28"
p20002_i2_a29,"Non-cancer illness code, self-reported | Instance 2 | Array 29"
p20002_i2_a30,"Non-cancer illness code, self-reported | Instance 2 | Array 30"
p20002_i2_a31,"Non-cancer illness code, self-reported | Instance 2 | Array 31"
p20002_i2_a32,"Non-cancer illness code, self-reported | Instance 2 | Array 32"
p20002_i2_a33,"Non-cancer illness code, self-reported | Instance 2 | Array 33"
p20002_i3_a0,"Non-cancer illness code, self-reported | Instance 3 | Array 0"
p20002_i3_a1,"Non-cancer illness code, self-reported | Instance 3 | Array 1"
p20002_i3_a2,"Non-cancer illness code, self-reported | Instance 3 | Array 2"
p20002_i3_a3,"Non-cancer illness code, self-reported | Instance 3 | Array 3"
p20002_i3_a4,"Non-cancer illness code, self-reported | Instance 3 | Array 4"
p20002_i3_a5,"Non-cancer illness code, self-reported | Instance 3 | Array 5"
p20002_i3_a6,"Non-cancer illness code, self-reported | Instance 3 | Array 6"
p20002_i3_a7,"Non-cancer illness code, self-reported | Instance 3 | Array 7"
p20002_i3_a8,"Non-cancer illness code, self-reported | Instance 3 | Array 8"
p20002_i3_a9,"Non-cancer illness code, self-reported | Instance 3 | Array 9"
p20002_i3_a10,"Non-cancer illness code, self-reported | Instance 3 | Array 10"
p20002_i3_a11,"Non-cancer illness code, self-reported | Instance 3 | Array 11"
p20002_i3_a12,"Non-cancer illness code, self-reported | Instance 3 | Array 12"
p20002_i3_a13,"Non-cancer illness code, self-reported | Instance 3 | Array 13"
p20002_i3_a14,"Non-cancer illness code, self-reported | Instance 3 | Array 14"
p20002_i3_a15,"Non-cancer illness code, self-reported | Instance 3 | Array 15"
p20002_i3_a16,"Non-cancer illness code, self-reported | Instance 3 | Array 16"
p20002_i3_a17,"Non-cancer illness code, self-reported | Instance 3 | Array 17"
p20002_i3_a18,"Non-cancer illness code, self-reported | Instance 3 | Array 18"
p20002_i3_a19,"Non-cancer illness code, self-reported | Instance 3 | Array 19"
p20002_i3_a20,"Non-cancer illness code, self-reported | Instance 3 | Array 20"
p20002_i3_a21,"Non-cancer illness code, self-reported | Instance 3 | Array 21"
p20002_i3_a22,"Non-cancer illness code, self-reported | Instance 3 | Array 22"
p20002_i3_a23,"Non-cancer illness code, self-reported | Instance 3 | Array 23"
p20002_i3_a24,"Non-cancer illness code, self-reported | Instance 3 | Array 24"
p20002_i3_a25,"Non-cancer illness code, self-reported | Instance 3 | Array 25"
p20002_i3_a26,"Non-cancer illness code, self-reported | Instance 3 | Array 26"
p20002_i3_a27,"Non-cancer illness code, self-reported | Instance 3 | Array 27"
p20002_i3_a28,"Non-cancer illness code, self-reported | Instance 3 | Array 28"
p20002_i3_a29,"Non-cancer illness code, self-reported | Instance 3 | Array 29"
p20002_i3_a30,"Non-cancer illness code, self-reported | Instance 3 | Array 30"
p20002_i3_a31,"Non-cancer illness code, self-reported | Instance 3 | Array 31"
p20002_i3_a32,"Non-cancer illness code, self-reported | Instance 3 | Array 32"
p20002_i3_a33,"Non-cancer illness code, self-reported | Instance 3 | Array 33"
p41270,Diagnoses - ICD10
p41271,Diagnoses - ICD9
p1647_i0,Country of birth (UK/elsewhere) | Instance 0
p1647_i1,Country of birth (UK/elsewhere) | Instance 1
p1647_i2,Country of birth (UK/elsewhere) | Instance 2
