1000035	1
1000046	1
1000054	1
1000063	1
1000129	1
1000198	1
1000236	1
1000318	1
1000331	1
1000357	1
1000450	1
1000516	1
1000568	1
1000609	1
1000660	1
1000674	2
1000683	1
1000734	1
1000826	1
1000844	1
1000858	1
1000889	1
1000893	1
1000906	1
1000914	1
1000988	1
1001001	1
1001076	1
1001123	1
1001140	1
1001278	1
1001290	1
1001433	1
1001582	1
1001700	1
1001732	1
1001744	1
1001789	1
1001809	1
1002031	1
1002079	1
1002096	1
1002128	1
1002176	1
1002251	1
1002268	1
1002273	1
1002322	1
1002335	1
1002438	1
1002456	2
1002591	1
1002615	1
1002705	1
1002729	1
1002764	1
1002888	1
1003011	1
1003074	1
1003097	1
1003121	1
1003347	1
1003365	1
1003423	1
1003529	1
1003570	1
1003598	1
1003634	1
1003652	1
1003699	1
1003791	1
1003881	1
1003890	1
1003916	1
1003973	1
1004012	1
1004029	1
1004086	1
1004107	1
1004119	1
1004525	1
1004616	1
1004706	1
1004759	1
1004788	1
1004808	1
1004850	1
1004894	1
1004913	1
1004945	1
1004952	1
1004967	1
1004976	1
1004999	1
1005136	1
1005253	1
1005264	1
1005286	1
1005311	1
1005445	1
1005589	1
1005631	1
1005662	1
1005794	1
1005935	1
1005946	1
1006008	1
1006015	1
1006043	1
1006050	1
1006077	1
1006111	1
1006138	1
1006142	1
1006156	1
1006160	1
1006478	1
1006580	1
1006599	1
1006641	1
1006727	1
1006768	1
1006773	1
1006784	1
1006857	1
1006936	1
1006987	1
1007000	1
1007017	1
1007058	1
1007089	1
1007102	1
1007184	1
1007213	1
1007276	1
1007299	1
1007559	1
1007663	1
1007681	1
1007690	1
1007711	1
1007725	1
1007783	1
1007803	1
1007810	1
1007848	1
1007855	1
1007957	1
1008126	1
1008189	1
1008334	1
1008367	1
1008399	1
1008554	1
1008692	1
1008757	1
1008796	1
1008805	1
1008870	1
1008909	1
1008938	1
1008942	1
1009036	1
1009114	1
1009188	1
1009256	1
1009274	1
1009312	1
1009370	1
1009416	1
1009468	1
1009504	1
1009617	1
1009746	1
1009754	1
1009813	1
1009921	1
1009977	1
1010000	1
1010044	1
1010058	1
1010102	1
1010116	1
1010130	1
1010151	1
1010234	1
1010308	1
1010377	1
1010412	1
1010437	1
1010441	1
1010559	1
1010571	1
1010690	1
1010738	1
1010756	1
1010774	1
1010797	1
1010810	1
1010887	1
1010891	1
1010904	1
1010931	1
1010979	1
1011056	1
1011097	1
1011115	1
1011150	1
1011258	1
1011261	1
1011275	1
1011306	1
1011431	1
1011457	1
1011541	1
1011598	1
1011613	1
1011645	1
1011667	1
1011724	1
1011791	1
1011807	1
1011878	1
1011984	1
1011995	1
1012043	1
1012094	1
1012109	1
1012138	1
1012265	1
1012326	1
1012358	1
1012446	1
1012481	1
1012545	1
1012576	1
1012580	1
1012599	1
1012605	1
1012637	1
1012641	1
1012664	1
1012698	1
1012716	1
1012727	1
1012784	1
1012840	1
1012857	1
1013035	1
1013046	1
1013186	1
1013198	1
1013224	1
1013340	1
1013357	1
1013482	1
1013494	1
1013595	1
1013609	1
1013642	1
1013752	1
1013817	1
1013861	1
1013893	1
1013965	1
1013971	1
1014016	1
1014030	1
1014117	1
1014126	1
1014161	1
1014189	1
1014193	1
1014221	1
1014328	1
1014436	1
